,a1,a2,model_name,sample_size,rmse,mae,test_size,calculation_time
0,0.0,0.0,autorec,0.1,0.9917954440674988,0.7816080223844396,0.1,0 days 00:00:02.005720
1,0.0,0.3333333333333333,autorec,0.1,0.7290416403876505,0.5709523645747596,0.1,0 days 00:00:01.099430
2,0.0,0.6666666666666666,autorec,0.1,0.5555389210492089,0.4568900010137046,0.1,0 days 00:00:00.649521
3,0.3333333333333333,0.0,autorec,0.1,0.6596104420024669,0.5214392179281433,0.1,0 days 00:00:01.989599
4,0.3333333333333333,0.3333333333333333,autorec,0.1,0.6070375388487174,0.5150859308410367,0.1,0 days 00:00:01.098443
5,0.6666666666666666,0.0,autorec,0.1,0.5531254240275291,0.4709415913971192,0.1,0 days 00:00:02.072585
6,0.0,0.0,svd,0.1,1.0365565984204324,0.8585385624033114,0.1,0 days 00:00:00.176591
7,0.0,0.3333333333333333,svd,0.1,0.7150172414507636,0.5754730298519711,0.1,0 days 00:00:00.113367
8,0.0,0.6666666666666666,svd,0.1,0.3550045390187147,0.29349306931825636,0.1,0 days 00:00:00.069466
9,0.3333333333333333,0.0,svd,0.1,0.6895195587467327,0.5638705633526209,0.1,0 days 00:00:00.171033
10,0.3333333333333333,0.3333333333333333,svd,0.1,0.3797997747716112,0.30818765524227393,0.1,0 days 00:00:00.112600
11,0.6666666666666666,0.0,svd,0.1,0.3521549303474733,0.2892488332315855,0.1,0 days 00:00:00.156518
12,0.0,0.0,knn,0.1,1.0251439646889886,0.8624818777863704,0.1,0 days 00:00:00.053406
13,0.0,0.3333333333333333,knn,0.1,0.7237168927377966,0.563132646567002,0.1,0 days 00:00:00.033239
14,0.0,0.6666666666666666,knn,0.1,0.3804976782657634,0.303843394455444,0.1,0 days 00:00:00.026243
15,0.3333333333333333,0.0,knn,0.1,0.6973518911987899,0.5809547784248086,0.1,0 days 00:00:00.053313
16,0.3333333333333333,0.3333333333333333,knn,0.1,0.37239063046607745,0.28885875179890547,0.1,0 days 00:00:00.032727
17,0.6666666666666666,0.0,knn,0.1,0.3607481836138887,0.2976038145346113,0.1,0 days 00:00:00.061259
