,a1,a2,model_name,sample_size,rmse,mae,test_size,calculation_time
0,0.0,0.0,autorec,0.1,0.9852845270237548,0.7809134584688627,0.1,0 days 00:00:02.780559
1,0.0,0.0,autorec,0.2,1.001471308426931,0.8071252417351483,0.1,0 days 00:00:02.618048
2,0.0,0.0,autorec,0.4,1.0435408726836815,0.8334569192129124,0.1,0 days 00:00:02.443188
3,0.0,0.0,autorec,0.6,1.0626983555839276,0.8561866028312403,0.1,0 days 00:00:02.738032
4,0.0,0.0,autorec,0.8,1.0068762232498754,0.7931085184136525,0.1,0 days 00:00:03.415359
5,0.0,0.0,autorec,1.0,1.0176031134744101,0.8190636321702123,0.1,0 days 00:00:03.709689
6,0.0,0.3333333333333333,autorec,0.1,0.7209905929239525,0.5946700209145231,0.1,0 days 00:00:01.701082
7,0.0,0.3333333333333333,autorec,0.2,0.684021392521076,0.5529192127758766,0.1,0 days 00:00:02.141054
8,0.0,0.3333333333333333,autorec,0.4,0.6885429072150198,0.5569895037400429,0.1,0 days 00:00:03.135546
9,0.0,0.3333333333333333,autorec,0.6,0.7255086048909596,0.5730774575615706,0.1,0 days 00:00:02.543640
10,0.0,0.3333333333333333,autorec,0.8,0.7023859008215383,0.5679217747777341,0.1,0 days 00:00:02.716840
11,0.0,0.3333333333333333,autorec,1.0,0.6930192504511513,0.5639126640866748,0.1,0 days 00:00:03.392192
12,0.0,0.6666666666666666,autorec,0.1,0.46817740594351254,0.38059662469248756,0.1,0 days 00:00:01.471219
13,0.0,0.6666666666666666,autorec,0.2,0.43211399171026144,0.36344721203704144,0.1,0 days 00:00:02.167772
14,0.0,0.6666666666666666,autorec,0.4,0.4266255955597692,0.350103216091103,0.1,0 days 00:00:02.146745
15,0.0,0.6666666666666666,autorec,0.6,0.43199868236602734,0.3484747676495916,0.1,0 days 00:00:02.749595
16,0.0,0.6666666666666666,autorec,0.8,0.4289205023523171,0.348032190165418,0.1,0 days 00:00:02.472864
17,0.0,0.6666666666666666,autorec,1.0,0.4582159724995068,0.3700782980658693,0.1,0 days 00:00:02.692624
18,0.3333333333333333,0.0,autorec,0.1,0.6678636826507143,0.5372395067605459,0.1,0 days 00:00:02.800432
19,0.3333333333333333,0.0,autorec,0.2,0.6848652105468409,0.5552349865718417,0.1,0 days 00:00:02.717696
20,0.3333333333333333,0.0,autorec,0.4,0.7199842053440931,0.5747594908722382,0.1,0 days 00:00:02.358842
21,0.3333333333333333,0.0,autorec,0.6,0.7315417193124101,0.5883644462330796,0.1,0 days 00:00:02.692927
22,0.3333333333333333,0.0,autorec,0.8,0.703346998235227,0.5575312495627863,0.1,0 days 00:00:03.232709
23,0.3333333333333333,0.0,autorec,1.0,0.7128017617800239,0.570673050659304,0.1,0 days 00:00:03.377003
24,0.3333333333333333,0.3333333333333333,autorec,0.1,0.4831540585721502,0.39658688266844605,0.1,0 days 00:00:01.889170
25,0.3333333333333333,0.3333333333333333,autorec,0.2,0.45622782932868755,0.3626387796433201,0.1,0 days 00:00:02.332582
26,0.3333333333333333,0.3333333333333333,autorec,0.4,0.46749289501408775,0.3846716958198293,0.1,0 days 00:00:02.907892
27,0.3333333333333333,0.3333333333333333,autorec,0.6,0.48435123634798727,0.3977304102094097,0.1,0 days 00:00:02.705905
28,0.3333333333333333,0.3333333333333333,autorec,0.8,0.4950361927514106,0.4080566052834558,0.1,0 days 00:00:02.639312
29,0.3333333333333333,0.3333333333333333,autorec,1.0,0.46103635655605485,0.37127890928657503,0.1,0 days 00:00:03.568164
30,0.6666666666666666,0.0,autorec,0.1,0.45275939751240807,0.36056330060030056,0.1,0 days 00:00:02.724008
31,0.6666666666666666,0.0,autorec,0.2,0.47991045881024563,0.39107250494997897,0.1,0 days 00:00:02.720580
32,0.6666666666666666,0.0,autorec,0.4,0.4747029849489752,0.3828777289272328,0.1,0 days 00:00:02.439768
33,0.6666666666666666,0.0,autorec,0.6,0.46839573615984437,0.3826809525060647,0.1,0 days 00:00:02.732729
34,0.6666666666666666,0.0,autorec,0.8,0.4828025532718177,0.40212501939332695,0.1,0 days 00:00:03.430246
35,0.6666666666666666,0.0,autorec,1.0,0.4931336185842095,0.4056490816098356,0.1,0 days 00:00:03.651450
36,0.0,0.0,svd,0.1,1.0365565984204324,0.8585385624033114,0.1,0 days 00:00:00.357019
37,0.0,0.0,svd,0.2,0.9790237610984202,0.788917659618985,0.1,0 days 00:00:00.463905
38,0.0,0.0,svd,0.4,1.0308587536976426,0.829035033269981,0.1,0 days 00:00:00.725836
39,0.0,0.0,svd,0.6,0.9887399480407315,0.779181507364916,0.1,0 days 00:00:01.159470
40,0.0,0.0,svd,0.8,1.0513589041681488,0.8331021469179513,0.1,0 days 00:00:01.269936
41,0.0,0.0,svd,1.0,1.0015261926732817,0.8032769223320732,0.1,0 days 00:00:01.386605
42,0.0,0.3333333333333333,svd,0.1,0.6654565206337909,0.5414550243176062,0.1,0 days 00:00:00.178532
43,0.0,0.3333333333333333,svd,0.2,0.6641621958839768,0.5314439220675219,0.1,0 days 00:00:00.249675
44,0.0,0.3333333333333333,svd,0.4,0.7051389626450484,0.5529543573200881,0.1,0 days 00:00:00.453186
45,0.0,0.3333333333333333,svd,0.6,0.7053357064190409,0.5707842849954445,0.1,0 days 00:00:00.815282
46,0.0,0.3333333333333333,svd,0.8,0.694460150871751,0.5511881091190419,0.1,0 days 00:00:01.110759
47,0.0,0.3333333333333333,svd,1.0,0.6822318159716252,0.5492162263013379,0.1,0 days 00:00:01.205694
48,0.0,0.6666666666666666,svd,0.1,0.36681226350779045,0.2900562911306766,0.1,0 days 00:00:00.123388
49,0.0,0.6666666666666666,svd,0.2,0.3656190343018576,0.2991129625941039,0.1,0 days 00:00:00.257798
50,0.0,0.6666666666666666,svd,0.4,0.3677443745100151,0.2931815113025128,0.1,0 days 00:00:00.457574
51,0.0,0.6666666666666666,svd,0.6,0.35922582358469557,0.2865854222293831,0.1,0 days 00:00:00.851549
52,0.0,0.6666666666666666,svd,0.8,0.358465039862454,0.28526833538652374,0.1,0 days 00:00:00.845016
53,0.0,0.6666666666666666,svd,1.0,0.35481003653216386,0.2831145332796755,0.1,0 days 00:00:01.053905
54,0.3333333333333333,0.0,svd,0.1,0.6879800452007008,0.5647529881371609,0.1,0 days 00:00:00.339708
55,0.3333333333333333,0.0,svd,0.2,0.6562823095486535,0.5297540527373288,0.1,0 days 00:00:00.413339
